Entry #,Event Date,Event Location,Weightclass,FighterAName,FighterBName,AAge,BAge,FighterAWin ,AHometownHero,BHometownHero,AHeight,AReach,BHeight,BReach,ATotalFightsPrior,AWinsPrior,AWinByKOPrior,AWinBySubPrior,AWinByDecPrior,ALossesPrior,ALossByKOPrior,ALossBySubPrior,ALossByDecPrior,ADrawsPrior,ANoContestPrior,BTotalFightsPrior,BWinsPrior,BWinByKO,BWinBySub,BWinByDecision,BLossesPrior,BLossByKO,BLossBySub,BLossByDec,BDrawsPrior,BNoContestPrior,Astance,Bstance,MainCard, MainEvent,ASigStrikesLPM,ASigStrikingAccuracy,ASigStrikesAPM,ASigStrikeDefence,ATDAvg,ATDAcc,ATDDef,ASubAvg,BSigStrikesLPM,BSigStrikingAccuracy,BSigStrikesAPM,BSigStrikeDefence,BTDAvg,BTDAcc,BTDDef,BSubAvg,"Date Career 
Stats Entered",AgeDiff,HeightDiff,ReachDiff,AWinPercentage,BWinPercentage,AApeFactor,BApeFactor,ApeDiff,AOrthodox,ASouthpaw,ASwitch,BOrthodox,BSouthpaw,BSwitch,OrthOrth,OrthSouth,OrthSwitch,SouthOrth,SouthSouth,SouthSwitch,SwitchOrth,SwitchSouth,SwitchSwitch,ADamTakenPM,ADamInflictedPM
1,2/22/20,"Aukland, New Zealand",Lightweight,Dan Hooker,Paul Felder,30,34,1,1,0,72,75,71,70,27,19,10,7,2,8,1,2,5,0,0,21,17,10,1,6,4,1,0,3,0,0,Switch,Orthodox,1,1,4.76,45%,4.67,55%,0.43,28%,78%,0.3,3.67,43%,3.4,49%,0.25,25%,61%,0.2,3/7/20,-4,1,5,0.7037,0.8095,3,-1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1.36
2,2/22/20,"Aukland, New Zealand",Light Heavyweight,Jim Crute,Michal Oleksiejczuk,23,25,1,1,0,74,74,72,74,11,10,4,3,3,1,0,1,0,0,0,18,14,4,3,3,3,1,2,0,0,1,Orthodox,Southpaw,1,0,4.08,55%,2.23,53%,4.63,81%,60%,2.6,4.83,56%,2.91,69%,1.05,66%,35%,0,3/7/20,-2,2,0,0.9091,0.7778,0,2,-2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-2.6,1.17
3,2/22/20,"Aukland, New Zealand",Women's Strawweight,Xiaonan Yan,Karolina Kowalkiewicz,30,34,1,0,0,65,63,63,64,13,11,5,0,6,1,0,1,0,0,1,17,12,1,2,9,5,1,1,3,0,0,Orthodox,Orthodox,1,0,6.72,42%,3.88,63%,1.2,75%,70%,0,5.27,39%,5.65,56%,0.1,12%,75%,0.1,3/7/20,-4,2,-1,0.8462,0.7059,-2,1,-3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.39,1.07
4,2/22/20,"Aukland, New Zealand",Heavyweight,Marcos Rogerio de Lima,Ben Sosoli,34,30,1,0,1,73,75,72,72,23,16,11,3,2,6,1,4,1,1,0,12,7,6,0,1,3,0,0,2,0,2,Orthodox,Southpaw,1,0,3.78,54%,2.63,54%,0.76,60%,36%,0.8,2.31,31%,4.3,47%,0,0%,0%,0,3/7/20,4,1,3,0.6957,0.5833,2,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.32,-0.52
5,2/22/20,"Aukland, New Zealand",Lightweight,Brad Riddell,Magomed Mustafaev,28,31,1,1,0,67,71,68,71,8,7,5,0,2,1,0,1,0,0,0,16,14,10,4,3,2,0,2,0,0,0,Orthodox,Orthodox,1,0,4.3,57%,2.13,54%,1,100%,57%,0,2.59,58%,2.68,41%,3.31,50%,23%,0.4,3/7/20,-3,-1,0,0.875,0.875,4,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.46,1.62
6,2/15/20,"Rio Rancho, New Mexico, USA",Light Heavyweight,Jan Blachowicz,Corey Anderson,37,30,1,0,0,74,78,75,79,33,25,6,9,10,8,2,1,5,0,0,17,13,5,0,8,4,3,0,1,0,0,Orthodox,Orthodox,1,1,3.45,48%,2.77,54%,1.16,52%,65%,0.3,4.43,46%,2.22,59%,4.89,50%,83%,0,3/7/20,7,-1,-1,0.7576,0.7647,4,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1.66,1.23
7,2/15/20,"Rio Rancho, New Mexico, USA",Welterweight,Diego Sanchez,Michel Pereira,38,26,1,1,0,70,72,73,73,41,29,10,6,13,12,4,0,8,0,0,35,23,10,6,7,10,1,1,8,0,2,Southpaw,Orthodox,1,0,2.73,38%,2.95,56%,1.57,24%,46%,0.9,3.04,51%,3.04,52%,2,57%,100%,0,3/7/20,12,-3,-1,0.7073,0.6571,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.09,-0.31
8,2/15/20,"Rio Rancho, New Mexico, USA",Women's Flyweight,Mara Romero Borella,Montana De La Rosa,33,25,0,0,1,66,69,67,68,20,12,3,4,5,6,4,1,1,0,2,15,10,0,8,2,5,1,1,3,0,0,Orthodox,Not Listed,1,0,2.61,36%,2.6,71%,1.51,42%,66%,0.2,2.3,33%,2.8,49%,2.22,33%,50%,1.9,3/7/20,8,-1,1,0.6,0.6667,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.19
9,2/15/20,"Rio Rancho, New Mexico, USA",Lightweight,Kazula Vargas,Brok Weaver,34,28,0,0,1,68,71,72,73,14,11,7,3,1,3,0,1,2,0,0,18,14,2,3,9,4,1,1,2,0,0,Southpaw,Southpaw,1,0,1.84,49%,1.16,54%,0.79,33%,25%,0,5.57,73%,2.84,37%,0,0%,70%,0.8,3/8/20,6,-4,-2,0.7857,0.7778,3,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-4.41,-1
10,2/15/20,"Rio Rancho, New Mexico, USA",Flyweight,Rogerio Bontorin,Ray Borg,27,26,0,0,1,65,67,64,63,18,16,3,11,2,1,0,1,0,0,1,16,12,1,6,5,4,0,1,3,0,0,Orthodox,Orthodox,1,0,2.3,52%,3.17,38%,1.76,35%,51%,1.1,1.36,52%,1.68,46%,4.26,51%,50%,1.1,3/8/20,1,1,4,0.8889,0.75,2,-1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.81,0.62
